NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,FE,FEUPPER,FELOWER,UFE,TRANSITREF,TRANSITURL
,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,au,au,au,au,day,day,day,day,,,,,g/cm^3,g/cm^3,g/cm^3,g/cm^3,msun,msun,msun,msun,rsun,rsun,rsun,rsun,,,,,k,k,k,k,,,,,,
Kepler-11 f,0.00723031,0.00692115,0.003776849999999999,0.005349,0.221888,0.00356446,0.0062378,0.00490113,0.250413,0.00417356,0.00417356,0.00417356,46.6888,0.0027,0.0031999999999999997,0.00295,0.013,0.009,0.011000000000000001,0.01,0.69,0.32,0.29,0.305,0.961,0.025,0.025,0.025,1.065,0.017,0.022,0.0195,4.366,0.015,0.015,0.015,5663,55,60,57.5,0,0.1,0.1,0.1,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L
Kepler-11 b,0.00597804,0.0044049,0.0031463000000000003,0.0037756,0.1604,0.0027,0.0045,0.0036,0.0914497,0.00152417,0.00152417,0.00152417,10.3039,0.0006,0.001,0.0008,0.045,0.068,0.041999999999999996,0.055,1.72,1.25,0.9100000000000001,1.08,0.961,0.025,0.025,0.025,1.065,0.017,0.022,0.0195,4.366,0.014,0.016,0.015,5663,55,66,60.5,0.0182,0.0015,0.0017000000000000001,0.0016,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L
Kepler-11 d,0.0229683,0.00251707,0.00471951,0.00361829,0.2781,0.00534807,0.006239410000000001,0.00579374,0.154764,0.0025794,0.0025794,0.0025794,22.6845,0.0009,0.0009,0.0009,0.0036055,0.002719,0.002719,0.002719,1.28,0.14,0.26999999999999996,0.205,0.961,0.025,0.025,0.025,1.065,0.017,0.022,0.0195,4.366,0.014,0.016,0.015,5663,55,66,60.5,0.0182,0.0015,0.0017000000000000001,0.0016,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L
Kepler-11 c,0.00912437,0.00912437,0.005034150000000001,0.00707926,0.255816,0.00445673,0.005348070000000001,0.0049024,0.106909,0.00178182,0.00178182,0.00178182,13.0241,0.0013,0.0007999999999999999,0.00105,0.0256125,0.311193,-0.21081319999999998,0.0501899,0.66,0.66,0.35,0.505,0.961,0.025,0.025,0.025,1.065,0.017,0.022,0.0195,4.366,0.014,0.016,0.015,5663,55,66,60.5,0.0182,0.0015,0.0017000000000000001,0.0016,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L
Kepler-178 b,0.025195,0.0129526,0.0129526,0.0129526,0.258721,0.111518,0.111518,0.111518,0.0882572,0.00147095,0.00147095,0.00147095,9.576694,0.000021,0.000021,0.000021,,,,,,,,,,,,,1.066,0.454,0.454,0.454,4.334,0.3,0.3,0.3,5676,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-334 c,0.0100631,0.00498159,0.00498159,0.00498159,0.127576,0.0231956,0.0231956,0.0231956,0.106855,0.00178092,0.00178092,0.00178092,12.758005,0.000055,0.000055,0.000055,,,,,,,,,,,,,1.068,0.194,0.194,0.194,4.385,0.15,0.15,0.15,5828,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-178 d,0.0500833,0.0330972,0.0330972,0.0330972,0.352395,0.151664,0.151664,0.151664,0.412251,0.00687084,0.00687084,0.00687084,96.678988,0.000702,0.000702,0.000702,,,,,,,,,,,,,1.066,0.454,0.454,0.454,4.334,0.3,0.3,0.3,5676,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-406 c,0.00857506,,,,0.0758319,0.00267642,0.00267642,0.00267642,0.0555527,,,,4.62332,,,,0,,,,24.39,16.13,16.13,16.13,1.07,0.06,0.06,0.06,1.07,0.02,0.02,0.02,4.409,0.02,0.02,0.02,5538,75,75,75,0.18,0.07,0.07,0.07,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-355 c,0.0223552,0.0108261,0.0108261,0.0108261,0.24177,0.108841,0.108841,0.108841,0.170712,0.00284519,0.00284519,0.00284519,25.762294,0.000267,0.000267,0.000267,,,,,,,,,,,,,1.066,0.478,0.478,0.478,4.441,0.3,0.3,0.3,6184,250,250,250,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-24 b,0.0185071,0.0185071,0.0185071,0.0185071,0.213923,,,,0.0800144,0.00323683,0.00323683,0.00323683,8.14561,0.00024,0.00024,0.00024,0,,,,,,,,1.03,0.11,0.14,0.125,1.07,0.16,0.23,0.195,4.34,0.3,0.3,0.3,5800,200,200,200,-0.24,0.004,0.004,0.004,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F
